OTU_ID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30
OTU_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
OTU_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
OTU_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
OTU_1000,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,4,0,0,0
OTU_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,66
OTU_1002,0,0,0,30,0,3,0,34,0,19,0,0,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1003,0,0,5,0,0,0,0,13,0,0,0,33,0,24,2,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,0,0,0,33,0,0,0,0,6,0,0,6,0,0,0,0,0,0,36,59,14,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,3,7,6,3,1,13,3,8,12,0,18,11,10,0,0,0,0,0,0,0,0,0,1,0
OTU_1006,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0
OTU_1007,15,1,20,2,6,12,0,0,3,0,0,11,11,6,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0
OTU_1008,3,0,0,0,2,1,23,17,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0
OTU_1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,13,0,4,0,0,4
OTU_101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0
OTU_1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
OTU_1011,0,0,0,0,0,8,8,46,0,0,0,0,1,5,15,0,1,0,1,0,31,0,0,0,0,0,0,0,0,1
OTU_1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,116,0,0,0,0,0,0,0,0,0,0,4
OTU_1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
OTU_1014,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,30,0,0,0
OTU_1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
OTU_1016,23,13,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
OTU_1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,26
OTU_1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
