OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_10,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,Cladorrhinum flexuosum
OTU_100,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Incertae_sedis,Trichaptum,Trichaptum biforme
OTU_1000,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1001,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1002,Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis rosea
OTU_1003,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis,Candida,NA
OTU_1004,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1005,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,Saccharomycopsis,Saccharomycopsis schoenii
OTU_1006,Fungi,NA,NA,NA,NA,NA,NA
OTU_1007,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,Podospora sp 
OTU_1008,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1009,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Rodwayella,Rodwayella citrinula
OTU_101,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,Ophiosphaerella sp 
OTU_1010,Fungi,NA,NA,NA,NA,NA,NA
OTU_1011,Fungi,NA,NA,NA,NA,NA,NA
OTU_1012,Fungi,NA,NA,NA,NA,NA,NA
OTU_1013,Fungi,NA,NA,NA,NA,NA,NA
OTU_1014,Fungi,NA,NA,NA,NA,NA,NA
OTU_1015,Fungi,NA,NA,NA,NA,NA,NA
OTU_1016,Fungi,NA,NA,NA,NA,NA,NA
OTU_1017,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU_1018,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,NA
OTU_1019,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius,Marasmius rotalis
OTU_102,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1020,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiotremataceae,Lophiotrema,Lophiotrema rubi
OTU_1021,Fungi,NA,NA,NA,NA,NA,NA
OTU_1022,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
OTU_1023,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1024,Fungi,NA,NA,NA,NA,NA,NA
OTU_1025,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1026,Fungi,NA,NA,NA,NA,NA,NA
OTU_1027,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1028,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1029,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,NA,NA
OTU_103,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
OTU_1030,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU_1031,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Leptosphaeria,NA
OTU_1032,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,NA,NA,NA
OTU_1033,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus sp 
OTU_1034,Fungi,NA,NA,NA,NA,NA,NA
OTU_1035,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria liriodendri
OTU_1036,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1037,Fungi,Basidiomycota,Agaricomycetes,Agaricales,NA,NA,NA
OTU_1038,Fungi,Ascomycota,Orbiliomycetes,NA,NA,NA,NA
OTU_1039,Fungi,NA,NA,NA,NA,NA,NA
OTU_104,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,NA,NA,NA
OTU_1040,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,NA
OTU_1041,Fungi,NA,NA,NA,NA,NA,NA
OTU_1042,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,NA
OTU_1043,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1044,Fungi,NA,NA,NA,NA,NA,NA
OTU_1045,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1046,Fungi,NA,NA,NA,NA,NA,NA
OTU_1047,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium longisporum
OTU_1048,Fungi,NA,NA,NA,NA,NA,NA
OTU_1049,Fungi,NA,NA,NA,NA,NA,NA
OTU_105,Fungi,NA,NA,NA,NA,NA,NA
OTU_1050,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,NA
OTU_1051,Fungi,NA,NA,NA,NA,NA,NA
OTU_1052,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1053,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,NA
OTU_1054,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1055,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,NA,NA,NA
OTU_1056,Fungi,NA,NA,NA,NA,NA,NA
OTU_1057,Fungi,Ascomycota,Sordariomycetes,Branch06,NA,NA,NA
OTU_1058,Fungi,NA,NA,NA,NA,NA,NA
OTU_1059,Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
OTU_106,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius sp 
OTU_1060,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,NA,NA,NA
OTU_1061,Fungi,NA,NA,NA,NA,NA,NA
OTU_1062,Fungi,Mortierellomycota,NA,NA,NA,NA,NA
OTU_1063,Fungi,NA,NA,NA,NA,NA,NA
OTU_1064,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Myrothecium,Myrothecium verrucaria
OTU_1065,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Stephanosporaceae,NA,NA
OTU_1066,Fungi,NA,NA,NA,NA,NA,NA
OTU_1067,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,NA
OTU_1068,Fungi,Ascomycota,Eurotiomycetes,Onygenales,NA,NA,NA
OTU_1069,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_107,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Sagenomella oligospora
OTU_1070,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1071,Fungi,NA,NA,NA,NA,NA,NA
OTU_1072,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
OTU_1073,Fungi,NA,NA,NA,NA,NA,NA
OTU_1074,Fungi,Mucoromycota,Endogonomycetes,Gs20,NA,NA,NA
OTU_1075,Fungi,NA,NA,NA,NA,NA,NA
OTU_1076,Fungi,NA,NA,NA,NA,NA,NA
OTU_1077,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,Cistella sp 
OTU_1078,Fungi,NA,NA,NA,NA,NA,NA
OTU_1079,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,NA,NA
OTU_108,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1080,Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
OTU_1081,Fungi,Basidiomycota,NA,NA,NA,NA,NA
OTU_1082,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,NA
OTU_1083,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU_1084,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU_1085,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,NA,NA
OTU_1086,Fungi,NA,NA,NA,NA,NA,NA
OTU_1087,Fungi,NA,NA,NA,NA,NA,NA
