OTU ID	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	taxonomy
SH010302.07FU_AF444350_refs	9103.0	9151.0	2801.0	5634.0	3211.0	8374.0	6408.0	7679.0	7231.0	6855.0	1596.0	6520.0	8672.0	4632.0	3768.0	1986.0	19287.0	11119.0	5699.0	11180.0	9323.0	6895.0	6207.0	11748.0	6273.0	4998.0	1926.0	11427.0	9934.0	5938.0	7307.0	3727.0	6882.0	3718.0	3745.0	2519.0	7119.0	1534.0	1322.0	2186.0	4267.0	3053.0	5033.0	4361.0	7821.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Piskurozymaceae; g__Solicoccozyma
OTU_dn_2624	1405.0	309.0	1.0	400.0	484.0	902.0	686.0	735.0	814.0	693.0	523.0	533.0	1002.0	54.0	312.0	78.0	2.0	179.0	302.0	94.0	10.0	37.0	1.0	0.0	294.0	734.0	151.0	0.0	2.0	1.0	97.0	19.0	7.0	1.0	0.0	151.0	14.0	132.0	29.0	2.0	1.0	1.0	1.0	0.0	0.0	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__unidentified; s__unidentified
OTU_dn_748	4776.0	2978.0	5540.0	3901.0	1867.0	1456.0	5001.0	8924.0	1041.0	4183.0	544.0	1059.0	2263.0	996.0	730.0	1895.0	2539.0	505.0	422.0	768.0	394.0	1120.0	1916.0	3507.0	130.0	1715.0	1970.0	2230.0	2765.0	165.0	2816.0	4704.0	763.0	1888.0	756.0	9401.0	1596.0	4951.0	995.0	484.0	2207.0	4650.0	1766.0	4056.0	1661.0	k__Fungi
OTU_dn_2081	2495.0	2985.0	636.0	1441.0	1383.0	4049.0	1479.0	3766.0	3512.0	2304.0	493.0	4282.0	4128.0	7599.0	5112.0	5201.0	1432.0	3837.0	1738.0	5460.0	6547.0	9029.0	7615.0	4999.0	1372.0	9973.0	6346.0	1504.0	3382.0	4013.0	7732.0	5857.0	7037.0	6261.0	2974.0	1031.0	1346.0	3086.0	4080.0	1777.0	1762.0	1254.0	1386.0	3439.0	2056.0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Claussenomyces; s__unidentified
OTU_dn_41	224.0	0.0	0.0	0.0	0.0	304.0	0.0	1.0	28.0	0.0	0.0	0.0	508.0	205.0	101.0	0.0	0.0	7.0	6.0	0.0	3.0	0.0	0.0	0.0	31.0	1.0	12.0	1.0	0.0	2.0	0.0	0.0	0.0	5.0	4.0	3.0	0.0	14.0	5.0	0.0	24.0	0.0	4.0	3.0	4.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora
SH025281.07FU_HG935126_reps	3008.0	3323.0	859.0	1877.0	1573.0	4900.0	2251.0	4571.0	4215.0	2862.0	582.0	4842.0	4562.0	7628.0	5246.0	6293.0	1422.0	4090.0	1819.0	6763.0	6141.0	9680.0	9076.0	6071.0	1888.0	11432.0	6703.0	2083.0	4116.0	4573.0	7715.0	5388.0	6237.0	5410.0	2844.0	935.0	1187.0	3104.0	4014.0	2243.0	1757.0	1111.0	1431.0	3269.0	2257.0	k__Fungi
OTU_dn_1945	1508.0	548.0	259.0	223.0	114.0	931.0	832.0	391.0	667.0	532.0	1.0	19.0	421.0	500.0	700.0	147.0	96.0	425.0	221.0	215.0	299.0	43.0	222.0	793.0	9.0	496.0	356.0	737.0	894.0	397.0	411.0	260.0	566.0	313.0	567.0	501.0	409.0	1173.0	224.0	19.0	66.0	595.0	196.0	578.0	539.0	k__Fungi; p__Ascomycota
SH023250.07FU_KY103069_reps	164.0	55.0	22.0	21.0	11.0	78.0	93.0	39.0	81.0	50.0	0.0	1.0	31.0	48.0	46.0	12.0	7.0	29.0	16.0	26.0	20.0	2.0	25.0	61.0	2.0	31.0	35.0	88.0	82.0	37.0	26.0	18.0	26.0	19.0	44.0	32.0	23.0	83.0	17.0	1.0	3.0	28.0	17.0	39.0	48.0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Cyberlindnera
SH020292.07FU_HG935117_reps	499.0	664.0	57.0	230.0	185.0	180.0	242.0	910.0	463.0	774.0	387.0	632.0	752.0	523.0	247.0	3003.0	229.0	292.0	104.0	1460.0	1036.0	1387.0	557.0	352.0	430.0	464.0	397.0	106.0	428.0	202.0	212.0	379.0	265.0	569.0	246.0	142.0	167.0	631.0	384.0	146.0	650.0	1228.0	710.0	2533.0	1018.0	k__Fungi; p__Ascomycota
OTU_dn_52	378.0	0.0	0.0	0.0	0.0	14.0	0.0	88.0	26.0	20.0	845.0	0.0	0.0	0.0	1.0	166.0	0.0	0.0	4.0	0.0	0.0	11.0	1.0	0.0	5.0	3.0	14.0	0.0	0.0	1.0	0.0	0.0	114.0	17.0	46.0	0.0	0.0	298.0	141.0	144.0	1.0	0.0	0.0	0.0	3.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified
